#mutationProbability0.3						#mutationProbability0.3						#mutationProbability0.3					
#recobminationProbability0.9						#recobminationProbability0.9						#recobminationProbability0.9					
#populationSize5						#populationSize10						#populationSize20					
generation	average	averageStdDev	best	bestStdDev	variance	generation	average	averageStdDev	best	bestStdDev		generation	average	averageStdDev	best	bestStdDev	
0	23727.78	1900.585795	57209	2150.348809	4624000	0	16916.31	1053.193412	50753.4	1562.987356	2442929.476	0	24704.34	1563.591351	59901.4	1620.225	2625129.051
1	27662.04	3338.935139	57209	2150.348809	4624000	1	26187.27	3164.576636	51095.7	1454.742592	2116276.009	1	34557.755	1675.708325	60083.8	1562.544637	2441545.744
2	28804.38	2732.328065	58584.2	1715.472385	2942845.504	2	26283.49	5141.986804	52006.2	1166.817211	1361462.404	2	36275.7	1722.524264	60433.1	1452.086279	2108554.561
3	32073.92	2443.023931	59024.7	1576.174054	2484324.649	3	30293.71	5532.692534	54222.8	465.8667449	217031.824	3	39290.27	5331.514754	61294.7	1179.624436	1391513.809
4	37259.02	422.1071466	61586.3	766.1250087	586947.529	4	38834.63	1110.095437	55056.5	1882.345777	3543225.625	4	38408.485	5439.501792	61344	1164.034407	1354976.1
5	41619.12	1550.616526	61586.3	766.1250087	586947.529	5	38857.04	3825.837355	56845.4	1316.645927	1733556.496	5	36338.1	5609.65921	62220.6	886.829147	786465.936
6	41452.94	2047.973232	62566.3	456.221798	208138.329	6	41856.56	9089.764748	57886.6	987.3895766	974938.176	6	34339.145	2232.158513	62516.6	793.2257283	629207.056
7	41040.04	328.8895258	62566.3	456.221798	208138.329	7	39783.84	4302.354651	60702.6	96.89218751	9388.096	7	34051.885	4419.335208	62963.9	651.7770485	424813.321
8	40917.94	1195.233438	62717.8	408.3132915	166719.744	8	40496.18	3932.349191	61154.3	45.9478944	2111.209	8	40652.385	491.5713189	63065.5	619.6483075	383964.025
9	37501.76	1846.466575	62717.8	408.3132915	166719.744	9	36475.98	5659.142531	61154.3	45.9478944	2111.209	9	42715.895	347.4726504	63267.9	555.6438077	308740.041
10	33437.64	3228.799333	62717.8	408.3132915	166719.744	10	31036.37	8165.244414	61356.7	109.9523942	12089.529	10	43636.75	3836.348766	63613	446.5136056	199374.4
11	32721.12	5793.646849	62717.8	408.3132915	166719.744	11	30109.95	7038.2972	61951.9	298.1711606	88906.041	11	38519.405	1100.597536	63613	446.5136056	199374.4
12	34406.82	6173.657755	62717.8	408.3132915	166719.744	12	34398.93	9247.01533	62226.7	385.0705507	148279.329	12	36626.215	2606.913714	63714.2	414.5113557	171819.664
13	45543.3	10618.20106	62869.7	360.2782938	129800.449	13	40981.64	11275.77772	62791.9	563.802484	317873.241	13	36972.55	734.2334385	63915.8	350.7598381	123032.464
14	41830	8207.375439	63220.4	249.3772163	62188.996	14	39450.6	11257.01277	62839.6	578.8865485	335109.636	14	39052.68	2146.165116	63915.8	350.7598381	123032.464
15	33582.8	6862.711733	63220.4	249.3772163	62188.996	15	41373.82	4494.804545	62839.6	578.8865485	335109.636	15	37523.39	5566.924189	63915.8	350.7598381	123032.464
16	29968.24	5608.375325	63220.4	249.3772163	62188.996	16	43372.99	3027.283189	64471.3	1094.875394	1198752.129	16	33184.965	5945.197424	63915.8	350.7598381	123032.464
17	26902.54	7866.968898	63220.4	249.3772163	62188.996	17	44847.51	8194.761114	64471.3	1094.875394	1198752.129	17	33887.76	5004.380292	64016.6	318.8840793	101687.056
18	28091.82	8243.052256	63220.4	249.3772163	62188.996	18	41360.96	304.0087251	64471.3	1094.875394	1198752.129	18	34287.485	5266.177354	64016.6	318.8840793	101687.056
19	32529.76	4435.018524	63220.4	249.3772163	62188.996	19	40028.98	6060.435566	64471.3	1094.875394	1198752.129	19	37533.395	4773.143481	64215	256.1444905	65610
20	28384.12	6773.067485	63220.4	249.3772163	62188.996	20	37587.74	3627.935695	64471.3	1094.875394	1198752.129	20	42485.585	2758.586037	64265.1	240.3014794	57744.801
21	24536.44	1942.726307	63220.4	249.3772163	62188.996	21	38156.67	2605.549191	64471.3	1094.875394	1198752.129	21	39537.18	665.5392809	64315.8	224.2687317	50296.464
22	26291.5	807.9935649	63271.3	233.281223	54420.129	22	44664.35	5047.864772	64471.3	1094.875394	1198752.129	22	35230.885	2879.479912	64518.2	160.2642318	25684.624
23	30504.66	3980.782636	63423.4	185.1829798	34292.736	23	39174.28	4125.342997	64623.4	1142.973637	1306388.736	23	38821.995	331.3450344	64770.7	80.4167209	6466.849
24	25658.24	8324.936273	63423.4	185.1829798	34292.736	24	43018.13	432.008238	64623.4	1142.973637	1306388.736	24	39103.32	4271.598339	64770.7	80.4167209	6466.849
25	27128.84	7859.891721	63423.4	185.1829798	34292.736	25	39144.73	4282.966727	64623.4	1142.973637	1306388.736	25	43720.05	3772.249398	64770.7	80.4167209	6466.849
26	24974.7	8656.956454	63423.4	185.1829798	34292.736	26	40381.68	6476.496437	64623.4	1142.973637	1306388.736	26	41500.885	7463.555556	64821.6	64.32072761	4137.156
27	29259.4	3574.44893	63423.4	185.1829798	34292.736	27	40890.93	1467.88818	64623.4	1142.973637	1306388.736	27	35170.2	1793.137924	64821.6	64.32072761	4137.156
28	27603	2720.317734	63423.4	185.1829798	34292.736	28	38860.22	1439.158888	64872.9	432.8841889	187388.721	28	38529.2	5986.128365	64821.6	64.32072761	4137.156
29	26821.18	6139.113034	63423.4	185.1829798	34292.736	29	30416.41	1944.171468	64872.9	432.8841889	187388.721	29	41749.275	1137.004838	64821.6	64.32072761	4137.156
30	27686.9	8743.982335	63423.4	185.1829798	34292.736	30	37761.14	505.4774349	64974.1	144.8639396	20985.561	30	39570.765	1552.335224	64821.6	64.32072761	4137.156
31	28846.48	7527.953759	63423.4	185.1829798	34292.736	31	34553.14	5407.349334	64974.1	144.8639396	20985.561	31	42380.425	818.1998161	64821.6	64.32072761	4137.156
32	31858.46	62.27789624	63423.4	185.1829798	34292.736	32	36622.96	2345.037595	64974.1	144.8639396	20985.561	32	35734.66	3290.473234	64872.5	48.22473432	2325.625
33	30306.64	3298.875406	63423.4	185.1829798	34292.736	33	39672.19	4345.288895	64974.1	144.8639396	20985.561	33	36681.465	3144.690653	64872.5	48.22473432	2325.625
34	27691.18	5191.517559	63423.4	185.1829798	34292.736	34	36581.29	3946.114586	64974.1	144.8639396	20985.561	34	38721.94	1385.349571	64872.5	48.22473432	2325.625
35	25635.72	6918.709345	63423.4	185.1829798	34292.736	35	39570.14	7505.305527	64974.1	144.8639396	20985.561	35	40294.835	6039.834908	64872.5	48.22473432	2325.625
